ID;Nome;Cognome;Data di Nascita;Grado;Email;Autista;Istruttore Allievi;Squadra;DeltaNotti;DeltaSabati;DeltaFestivi;Eccezioni;Note
38;N38;C38;31/07/1984;Vigile;todo@todo.it;;;;;;;EsenteServizi;Note:
39;N39;C39;13/08/1984;Vigile;todo@todo.it;;;4;;;;;Note:
40;N40;C40;08/03/1985;Vigile;todo@todo.it;;;2;;;;;Note:
41;N41;C41;30/06/1985;Vigile;todo@todo.it;;;1;12;1;2;;Note:
42;N42;C42;25/09/1986;Caposquadra;todo@todo.it;;;3;;;;;Note:
43;N43;C43;12/09/1988;Vigile;todo@todo.it;y;;3;;;;;Note:
44;N44;C44;13/10/1989;Vigile;todo@todo.it;;;3;;;;;Note: aggiungere come autista 2024
45;N45;C45;11/11/1989;Vigile;todo@todo.it;;;2;;;;;Note:
46;N46;C46;02/02/1990;Vigile;todo@todo.it;;;4;;;;;Note:
47;N47;C47;21/10/1990;Vigile;todo@todo.it;;;;;;;EsenteServizi;Note:
48;N48;C48;14/12/1991;Vigile;todo@todo.it;;;1;;;;;Note:
49;N49;C49;09/05/1992;Vigile;todo@todo.it;;;2;;;;;Note:
50;N50;C50;20/05/1992;Vigile;todo@todo.it;;;4;;;;;Note:
51;N51;C51;17/11/1992;Complemento;todo@todo.it;;;;;;;;Note:
52;N52;C52;21/03/1993;Complemento;todo@todo.it;;;;;;;;Note:
53;N53;C53;09/05/1994;Complemento;todo@todo.it;;;;;;;;Note:
54;N54;C54;16/07/1994;Complemento;todo@todo.it;;y;1;;;;Resp. Allievi;Note:
55;N55;C55;16/06/1995;Caposquadra;todo@todo.it;;;4;;;;NoNottiMese5,NoNottiMese6,NoNottiMese7,NoNottiMese8,NoNottiMese9,NoNottiMese10,NoNottiMese11,NoNottiMese12,NoFestiviMese1,NoFestiviMese2,NoFestiviMese3,NoFestiviMese4,NoFestiviMese5,NoFestiviMese6,NoFestiviMese7,NoFestiviMese8,NoFestiviMese9,NoSabatiMese1,NoSabatiMese2,NoSabatiMese3,NoSabatiMese4,NoSabatiMese5,NoSabatiMese6,NoSabatiMese7,NoSabatiMese8,NoSabatiMese9;Note:
56;N56;C56;27/09/1995;Aspirante;todo@todo.it;;;;;;;EsenteServizi;Note:
57;N57;C57;27/12/1995;Aspirante;todo@todo.it;;;;;;;EsenteServizi;Note:
58;N58;C58;02/04/1996;Aspirante;todo@todo.it;;;3;;;;;Note:
59;N59;C59;08/06/1996;Aspirante;todo@todo.it;;;4;;;;;Note:
60;N60;C60;09/12/1998;Aspirante;todo@todo.it;;;4;;;;;Note:
61;N61;C61;27/04/1999;Aspirante;todo@todo.it;;;2;;;;;Note:
62;N62;C62;07/08/1999;Aspirante;todo@todo.it;;;1;;;;;Note:
63;N63;C63;22/10/1999;Aspirante;todo@todo.it;;;2;;;;;Note:
